onset	duration	trial_type
27.598	8	Neutral - OBSERVAR
36.114	8	Neutral - OBSERVAR
45.28	8	Neutral - OBSERVAR
54.713	8	Neutral - OBSERVAR
93.677	8	Happy - SUPRIMIR
102.627	8	Happy - SUPRIMIR
112.043	8	Happy - SUPRIMIR
121.242	8	Happy - SUPRIMIR
157.99	8	Happy - INCREMENTAR
167.189	8	Happy - INCREMENTAR
176.539	8	Happy - INCREMENTAR
185.171	8	Happy - INCREMENTAR
223.602	8	Negativo - REDUCIR
232.802	8	Negativo - REDUCIR
241.451	8	Negativo - REDUCIR
250.884	8	Negativo - REDUCIR
286.632	8	Happy - OBSERVAR
295.281	8	Happy - OBSERVAR
304.714	8	Happy - OBSERVAR
313.913	8	Happy - OBSERVAR
348.128	8	Negativo - SUPRIMIR
357.11	8	Negativo - SUPRIMIR
366.543	8	Negativo - SUPRIMIR
375.743	8	Negativo - SUPRIMIR
407.857	8	Negativo - OBSERVAR
416.957	8	Negativo - OBSERVAR
426.406	8	Negativo - OBSERVAR
435.055	8	Negativo - OBSERVAR
469.27	8	Happy - INCREMENTAR
478.453	8	Happy - INCREMENTAR
487.085	8	Happy - INCREMENTAR
496.551	8	Happy - INCREMENTAR
533.482	8	Negativo - REDUCIR
542.132	8	Negativo - REDUCIR
551.348	8	Negativo - REDUCIR
560.281	8	Negativo - REDUCIR
594.412	8	Neutral - OBSERVAR
603.611	8	Neutral - OBSERVAR
612.261	8	Neutral - OBSERVAR
621.21	8	Neutral - OBSERVAR
650.775	8	Negativo - OBSERVAR
659.341	8	Negativo - OBSERVAR
668.79	8	Negativo - OBSERVAR
677.99	8	Negativo - OBSERVAR
713.904	8	Happy - SUPRIMIR
723.337	8	Happy - SUPRIMIR
732.286	8	Happy - SUPRIMIR
740.836	8	Happy - SUPRIMIR
775.9	8	Happy - OBSERVAR
784.566	8	Happy - OBSERVAR
793.532	8	Happy - OBSERVAR
802.982	8	Happy - OBSERVAR
837.513	8	Negativo - SUPRIMIR
846.862	8	Negativo - SUPRIMIR
856.045	8	Negativo - SUPRIMIR
864.878	8	Negativo - SUPRIMIR
898.592	8	Happy - SUPRIMIR
907.258	8	Happy - SUPRIMIR
916.225	8	Happy - SUPRIMIR
925.307	8	Happy - SUPRIMIR
961.572	8	Happy - OBSERVAR
970.521	8	Happy - OBSERVAR
979.72	8	Happy - OBSERVAR
988.37	8	Happy - OBSERVAR
1022.934	8	Happy - INCREMENTAR
1031.584	8	Happy - INCREMENTAR
1040.567	8	Happy - INCREMENTAR
1049.799	8	Happy - INCREMENTAR
1082.331	8	Negativo - SUPRIMIR
1091.547	8	Negativo - SUPRIMIR
1100.496	8	Negativo - SUPRIMIR
1109.162	8	Negativo - SUPRIMIR
1147.076	8	Negativo - REDUCIR
1156.276	8	Negativo - REDUCIR
1165.242	8	Negativo - REDUCIR
1174.725	8	Negativo - REDUCIR
1210.556	8	Negativo - OBSERVAR
1219.738	8	Negativo - OBSERVAR
1229.188	8	Negativo - OBSERVAR
1238.154	8	Negativo - OBSERVAR
1275.135	8	Neutral - OBSERVAR
1284.584	8	Neutral - OBSERVAR
1293.117	8	Neutral - OBSERVAR
1301.95	8	Neutral - OBSERVAR
