run,seed,k_sel,best_sil,perm_p,hc_sep_sil,hc_sep_perm_p
1,1,4,0.245083,0.168,0.006086,1.0
2,2,5,0.229792,0.336,-0.008595,1.0
3,3,2,0.367042,0.075,-0.001604,1.0
4,4,2,0.242427,0.475,0.016986,1.0
5,5,5,0.249828,0.113,0.007726,1.0
6,6,2,0.304263,0.179,0.020444,1.0
7,7,4,0.321613,0.0,0.006307,1.0
8,8,4,0.285505,0.032,0.003569,1.0
9,9,5,0.282023,0.01,0.000485,1.0
10,10,2,0.231248,0.485,0.008989,1.0
11,11,2,0.35657,0.081,0.011623,1.0
12,12,5,0.291714,0.003,-0.010309,1.0
13,13,2,0.345766,0.101,-0.001362,1.0
14,14,4,0.260513,0.1,-0.008562,1.0
15,15,5,0.261782,0.048,-0.008685,1.0
16,16,5,0.260004,0.075,0.007281,1.0
17,17,4,0.280466,0.03,-0.002232,1.0
18,18,5,0.268025,0.07,-0.004701,1.0
19,19,4,0.240918,0.11,-0.008817,1.0
20,20,3,0.292562,0.026,0.003875,1.0
