seed,r,R2,perm_p
0,0.460463851225436,0.19023102679182713,0.015
1,0.5035706090911379,0.24897853309546059,0.011
2,0.34617127700462774,-0.059147414528978315,0.039
3,0.46110152400316157,0.2094544760619823,0.012
4,0.324640848681858,-0.3378092974703366,0.048
5,0.46891648305371003,0.19508091486611934,0.015
6,0.49771479424705206,0.24466897506438445,0.013
7,0.3620579119580634,-0.08917436694855807,0.037
8,0.37057219431826166,-0.03742477901936714,0.039
9,0.5317470648514069,0.28145609553844464,0.007
